ID Group,Group,ID Year,Year,Commute Means,Commute Means Moe,Geography,ID Geography,Slug Geography,share
6,"Walked",2017,"2017",396134,5711,"New York, NY","16000US3651000","new-york-ny",0.09965331872916573
7,"Other",2017,"2017",21895,1282,"New York, NY","16000US3651000","new-york-ny",0.005508008435466493
8,"Worked At Home",2017,"2017",162537,2843,"New York, NY","16000US3651000","new-york-ny",0.04088856666249908
0,"Drove Alone",2016,"2016",857057,5417,"New York, NY","16000US3651000","new-york-ny",0.21982364493635156
1,"Carpooled",2016,"2016",180254,3707.1548389566897,"New York, NY","16000US3651000","new-york-ny",0.04623273748928848
2,"Public Transit",2016,"2016",2205425,9904.629220723005,"New York, NY","16000US3651000","new-york-ny",0.5656619829646723
3,"Taxi",2016,"2016",37630,1627,"New York, NY","16000US3651000","new-york-ny",0.009651591153161236
4,"Motorcycle",2016,"2016",3021,413,"New York, NY","16000US3651000","new-york-ny",0.0007748460503242119
5,"Bicycle",2016,"2016",43955,2028,"New York, NY","16000US3651000","new-york-ny",0.011273868964581508
6,"Walked",2016,"2016",391365,5764,"New York, NY","16000US3651000","new-york-ny",0.10037988231881337
7,"Other",2016,"2016",22168,1129,"New York, NY","16000US3651000","new-york-ny",0.005685795181591238
8,"Worked At Home",2016,"2016",157964,3031,"New York, NY","16000US3651000","new-york-ny",0.04051565094121609
0,"Drove Alone",2015,"2015",845628,5897,"New York, NY","16000US3651000","new-york-ny",0.22020788331660215
1,"Carpooled",2015,"2015",178555,3615.1089886751693,"New York, NY","16000US3651000","new-york-ny",0.04649706325428663
2,"Public Transit",2015,"2015",2169774,10471.999092818907,"New York, NY","16000US3651000","new-york-ny",0.5650254483240823
3,"Taxi",2015,"2015",38822,1675,"New York, NY","16000US3651000","new-york-ny",0.01010954041980295
4,"Motorcycle",2015,"2015",2729,357,"New York, NY","16000US3651000","new-york-ny",0.0007106520994704614
5,"Bicycle",2015,"2015",39855,1611,"New York, NY","16000US3651000","new-york-ny",0.01037854137940463
6,"Walked",2015,"2015",390293,4754,"New York, NY","16000US3651000","new-york-ny",0.10163522896981486
7,"Other",2015,"2015",22109,1331,"New York, NY","16000US3651000","new-york-ny",0.005757349676508768
8,"Worked At Home",2015,"2015",152370,3338,"New York, NY","16000US3651000","new-york-ny",0.03967829256002719
0,"Drove Alone",2014,"2014",836339,6088,"New York, NY","16000US3651000","new-york-ny",0.2224066882175426
1,"Carpooled",2014,"2014",178737,3375.5377349394275,"New York, NY","16000US3651000","new-york-ny",0.04753132908059879
2,"Public Transit",2014,"2014",2113466,9643.407800150319,"New York, NY","16000US3651000","new-york-ny",0.5620316327713725
3,"Taxi",2014,"2014",38114,1999,"New York, NY","16000US3651000","new-york-ny",0.01013561308838093
4,"Motorcycle",2014,"2014",2656,412,"New York, NY","16000US3651000","new-york-ny",0.00070630708828094
5,"Bicycle",2014,"2014",37009,1461,"New York, NY","16000US3651000","new-york-ny",0.009841761683053203
6,"Walked",2014,"2014",380414,5436,"New York, NY","16000US3651000","new-york-ny",0.10116306652157588
7,"Other",2014,"2014",22312,1120,"New York, NY","16000US3651000","new-york-ny",0.005933405027757656
8,"Worked At Home",2014,"2014",151357,2981,"New York, NY","16000US3651000","new-york-ny",0.04025019652143759
0,"Drove Alone",2013,"2013",830008,6644,"New York, NY","16000US3651000","new-york-ny",0.22430902675683623
1,"Carpooled",2013,"2013",181750,3376.410816236673,"New York, NY","16000US3651000","new-york-ny",0.04911779839839493
2,"Public Transit",2013,"2013",2067531,11739.082332107564,"New York, NY","16000US3651000","new-york-ny",0.5587486703737655
3,"Taxi",2013,"2013",37843,1898.9999999999998,"New York, NY","16000US3651000","new-york-ny",0.010227041787017659
4,"Motorcycle",2013,"2013",2994,368,"New York, NY","16000US3651000","new-york-ny",0.0008091262085545773
5,"Bicycle",2013,"2013",32879,1513,"New York, NY","16000US3651000","new-york-ny",0.008885524586194371
6,"Walked",2013,"2013",377698,4972,"New York, NY","16000US3651000","new-york-ny",0.10207259543040974
7,"Other",2013,"2013",21968,1381,"New York, NY","16000US3651000","new-york-ny",0.005936835186882751
8,"Worked At Home",2013,"2013",147617,3497,"New York, NY","16000US3651000","new-york-ny",0.03989338127194424
