ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,"2017",2,"Black",38555,12827,"Census Tract 1126, Kings County, NY","14000US36047112600"
2017,"2017",2,"Black",39135,18732,"Census Tract 1128, Kings County, NY","14000US36047112800"
2017,"2017",2,"Black",35250,11302,"Census Tract 1130, Kings County, NY","14000US36047113000"
2017,"2017",2,"Black",60000,17499,"Census Tract 1132, Kings County, NY","14000US36047113200"
2017,"2017",2,"Black",16369,9620,"Census Tract 1134, Kings County, NY","14000US36047113400"
2017,"2017",2,"Black",36518,35503,"Census Tract 1142.01, Kings County, NY","14000US36047114201"
2017,"2017",2,"Black",49154,18610,"Census Tract 1142.02, Kings County, NY","14000US36047114202"
2017,"2017",2,"Black",30455,7520,"Census Tract 1144, Kings County, NY","14000US36047114400"
2017,"2017",2,"Black",58125,24679,"Census Tract 1146, Kings County, NY","14000US36047114600"
2017,"2017",2,"Black",57727,19855,"Census Tract 1150, Kings County, NY","14000US36047115000"
2017,"2017",2,"Black",33493,10345,"Census Tract 1152, Kings County, NY","14000US36047115200"
2017,"2017",2,"Black",16272,8680,"Census Tract 1156, Kings County, NY","14000US36047115600"
2017,"2017",2,"Black",60924,18070,"Census Tract 1158, Kings County, NY","14000US36047115800"
2017,"2017",2,"Black",32714,4935,"Census Tract 1160, Kings County, NY","14000US36047116000"
2017,"2017",2,"Black",34828,7453.000000000001,"Census Tract 1162, Kings County, NY","14000US36047116200"
2017,"2017",2,"Black",53587,10347,"Census Tract 1164, Kings County, NY","14000US36047116400"
2017,"2017",2,"Black",35114,9641,"Census Tract 1166, Kings County, NY","14000US36047116600"
2017,"2017",2,"Black",61417,5471,"Census Tract 1168, Kings County, NY","14000US36047116800"
2017,"2017",2,"Black",40688,15554.000000000002,"Census Tract 1172.02, Kings County, NY","14000US36047117202"
2017,"2017",2,"Black",37238,28172,"Census Tract 1174, Kings County, NY","14000US36047117400"
2017,"2017",2,"Black",54907,19417,"Census Tract 1176.01, Kings County, NY","14000US36047117601"
2017,"2017",2,"Black",42035,9135,"Census Tract 1176.02, Kings County, NY","14000US36047117602"
2017,"2017",2,"Black",57891,18426,"Census Tract 1178, Kings County, NY","14000US36047117800"
2017,"2017",2,"Black",61042,32732,"Census Tract 1182.01, Kings County, NY","14000US36047118201"
2017,"2017",2,"Black",38750,17868,"Census Tract 1182.02, Kings County, NY","14000US36047118202"
2017,"2017",2,"Black",41902,27232.999999999996,"Census Tract 1184, Kings County, NY","14000US36047118400"
2017,"2017",2,"Black",38750,35288,"Census Tract 1186, Kings County, NY","14000US36047118600"
2017,"2017",2,"Black",41591,18111,"Census Tract 1188, Kings County, NY","14000US36047118800"
2017,"2017",2,"Black",53021,34708,"Census Tract 1192, Kings County, NY","14000US36047119200"
2017,"2017",2,"Black",32386,17970,"Census Tract 1194, Kings County, NY","14000US36047119400"
2017,"2017",2,"Black",35750,6638,"Census Tract 1196, Kings County, NY","14000US36047119600"
2017,"2017",2,"Black",32028,10556,"Census Tract 1198, Kings County, NY","14000US36047119800"
2017,"2017",2,"Black",36591,22019,"Census Tract 1200, Kings County, NY","14000US36047120000"
2017,"2017",2,"Black",60375,35783,"Census Tract 1202, Kings County, NY","14000US36047120200"
2017,"2017",2,"Black",35976,3228,"Census Tract 1208, Kings County, NY","14000US36047120800"
2017,"2017",2,"Black",24071,12585,"Census Tract 1210, Kings County, NY","14000US36047121000"
2017,"2017",2,"Black",19611,6535,"Census Tract 1214, Kings County, NY","14000US36047121400"
2017,"2017",2,"Black",47194,21246,"Census Tract 1220, Kings County, NY","14000US36047122000"
2017,"2017",2,"Black",61767,58650.00000000001,"Census Tract 1237, Kings County, NY","14000US36047123700"
2017,"2017",2,"Black",7148,7048,"Census Tract 2.01, New York County, NY","14000US36061000201"
2017,"2017",2,"Black",27750,9470,"Census Tract 2.02, New York County, NY","14000US36061000202"
2017,"2017",2,"Black",9942,7801,"Census Tract 6, New York County, NY","14000US36061000600"
2017,"2017",2,"Black",158261,69774,"Census Tract 7, New York County, NY","14000US36061000700"
2017,"2017",2,"Black",116382,44880,"Census Tract 9, New York County, NY","14000US36061000900"
2017,"2017",2,"Black",21675,17217,"Census Tract 10.02, New York County, NY","14000US36061001002"
2017,"2017",2,"Black",137750,123723.99999999999,"Census Tract 14.01, New York County, NY","14000US36061001401"
2017,"2017",2,"Black",14952,14687.000000000002,"Census Tract 20, New York County, NY","14000US36061002000"
2017,"2017",2,"Black",13786,6362,"Census Tract 22.01, New York County, NY","14000US36061002201"
2017,"2017",2,"Black",2499,,"Census Tract 22.02, New York County, NY","14000US36061002202"
2017,"2017",2,"Black",9287,1537,"Census Tract 24, New York County, NY","14000US36061002400"
