"Name","Monthly Rent"
"Description","The monthly rent (in dollars) agreed to or contracted for, regardless of any furnishings, utilities, fees, meals, or services that may be included.&nbsp;"
"Source Notes","U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B25056 (2009-2020);&nbsp; retrieved from <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>."
"Notes","Percents refer to the percent of all occupied rental units."

Location,Rent Level,TimeFrame,DataFormat,Data,Fips
Concourse/Highbridge,Under $500,2013,Number,7954,204
Unionport/Soundview,Under $500,2013,Number,9267,209
Mott Haven,Under $500,2013,Number,10406.65948,201
Hunts Point,Under $500,2013,Number,5942.34052,202
Washington Heights,Under $500,2013,Number,8532,112
Manhattanville,Under $500,2013,Number,7418,109
Central Harlem,Under $500,2013,Number,11536,110
East Harlem,Under $500,2013,Number,13007,111
Upper East Side,Under $500,2013,Number,3231,108
Upper West Side,Under $500,2013,Number,6422,107
Chelsea/Clinton,Under $500,2013,Number,3842.74694,104
Midtown Business District,Under $500,2013,Number,1923.25306,105
Murray Hill/Stuyvesant,Under $500,2013,Number,1979,106
Lower East Side,Under $500,2013,Number,15419,103
Battery Park/Tribeca,Under $500,2013,Number,1285.83885,101
Greenwich Village,Under $500,2013,Number,1898.16115,102
Tottenville,Under $500,2013,Number,481,503
South Beach,Under $500,2013,Number,1374,502
St. George,Under $500,2013,Number,4413,501
Williamsburg/Greenpoint,Under $500,2013,Number,8732,301
Bushwick,Under $500,2013,Number,5742,304
Bedford Stuyvesant,Under $500,2013,Number,8724,303
Fort Greene/Brooklyn Hts,Under $500,2013,Number,6239,302
Park Slope,Under $500,2013,Number,2830,306
Crown Heights North,Under $500,2013,Number,7060,308
Brownsville,Under $500,2013,Number,9900,316
East New York,Under $500,2013,Number,8280,305
Canarsie,Under $500,2013,Number,3128,318
East Flatbush,Under $500,2013,Number,1870,317
Crown Heights South,Under $500,2013,Number,2473,309
Sunset Park,Under $500,2013,Number,3424,307
Bay Ridge,Under $500,2013,Number,1635,310
Borough Park,Under $500,2013,Number,2696,312
Flatbush/Midwood,Under $500,2013,Number,3272,314
Sheepshead Bay,Under $500,2013,Number,3496,315
Bensonhurst,Under $500,2013,Number,2947,311
Coney Island,Under $500,2013,Number,8415,313
Astoria,Under $500,2013,Number,6058,401
Jackson Heights,Under $500,2013,Number,1322,403
Flushing,Under $500,2013,Number,2796,407
Bayside,Under $500,2013,Number,188,411
Queens Village,Under $500,2013,Number,459,413
Fresh Meadows/Briarwood,Under $500,2013,Number,1709,408
Elmhurst/Corona,Under $500,2013,Number,1517,404
Rego Park/Forest Hills,Under $500,2013,Number,661,406
Sunnyside/Woodside,Under $500,2013,Number,1098,402
Ridgewood/Glendale,Under $500,2013,Number,1020,405
Woodhaven,Under $500,2013,Number,709,409
Jamaica/St. Albans,Under $500,2013,Number,3771,412
Howard Beach,Under $500,2013,Number,488,410
The Rockaways,Under $500,2013,Number,5472,414
Bronx,Under $500,2013,Number,74418,36005
Brooklyn,Under $500,2013,Number,90863,36047
Manhattan,Under $500,2013,Number,76494,36061
Queens,Under $500,2013,Number,27268,36081
Staten Island,Under $500,2013,Number,6268,36085
New York City,Under $500,2013,Number,275311,3651000
Riverdale,Under $500,2013,Percent,0.08019,208
Williamsbridge,Under $500,2013,Percent,0.10895,212
Throgs Neck,Under $500,2013,Percent,0.11083,210
Pelham Parkway,Under $500,2013,Percent,0.13296,211
Morrisania,Under $500,2013,Percent,0.31733,203
East Tremont,Under $500,2013,Percent,0.31733,206
Bedford Park,Under $500,2013,Percent,0.1294,207
University Heights,Under $500,2013,Percent,0.20654,205
Concourse/Highbridge,Under $500,2013,Percent,0.18782,204
Unionport/Soundview,Under $500,2013,Percent,0.18999,209
Mott Haven,Under $500,2013,Percent,0.36906,201
Hunts Point,Under $500,2013,Percent,0.36906,202
Washington Heights,Under $500,2013,Percent,0.1342,112
Manhattanville,Under $500,2013,Percent,0.18972,109
Central Harlem,Under $500,2013,Percent,0.26526,110
East Harlem,Under $500,2013,Percent,0.31554,111
Upper East Side,Under $500,2013,Percent,0.04339,108
Upper West Side,Under $500,2013,Percent,0.09814,107
Chelsea/Clinton,Under $500,2013,Percent,0.09525,104
Midtown Business District,Under $500,2013,Percent,0.09525,105
Murray Hill/Stuyvesant,Under $500,2013,Percent,0.03655,106
Lower East Side,Under $500,2013,Percent,0.25153,103
Battery Park/Tribeca,Under $500,2013,Percent,0.05896,101
Greenwich Village,Under $500,2013,Percent,0.05896,102
Tottenville,Under $500,2013,Percent,0.04738,503
South Beach,Under $500,2013,Percent,0.11179,502
St. George,Under $500,2013,Percent,0.16718,501
Williamsburg/Greenpoint,Under $500,2013,Percent,0.17919,301
Bushwick,Under $500,2013,Percent,0.15379,304
Bedford Stuyvesant,Under $500,2013,Percent,0.23403,303
Fort Greene/Brooklyn Hts,Under $500,2013,Percent,0.17158,302
Park Slope,Under $500,2013,Percent,0.09128,306
Crown Heights North,Under $500,2013,Percent,0.17553,308
Brownsville,Under $500,2013,Percent,0.2921,316
East New York,Under $500,2013,Percent,0.21631,305
Canarsie,Under $500,2013,Percent,0.11406,318
East Flatbush,Under $500,2013,Percent,0.06112,317
Crown Heights South,Under $500,2013,Percent,0.07496,309
Sunset Park,Under $500,2013,Percent,0.10243,307
Bay Ridge,Under $500,2013,Percent,0.05539,310
Borough Park,Under $500,2013,Percent,0.08744,312
Flatbush/Midwood,Under $500,2013,Percent,0.07875,314
Sheepshead Bay,Under $500,2013,Percent,0.12414,315
Bensonhurst,Under $500,2013,Percent,0.07804,311
Coney Island,Under $500,2013,Percent,0.27739,313
Astoria,Under $500,2013,Percent,0.10583,401
Jackson Heights,Under $500,2013,Percent,0.03737,403
Flushing,Under $500,2013,Percent,0.06339,407
Bayside,Under $500,2013,Percent,0.01502,411
Queens Village,Under $500,2013,Percent,0.0291,413
Fresh Meadows/Briarwood,Under $500,2013,Percent,0.06025,408
Elmhurst/Corona,Under $500,2013,Percent,0.04562,404
Rego Park/Forest Hills,Under $500,2013,Percent,0.0244,406
Sunnyside/Woodside,Under $500,2013,Percent,0.02976,402
Ridgewood/Glendale,Under $500,2013,Percent,0.02898,405
Woodhaven,Under $500,2013,Percent,0.03005,409
Jamaica/St. Albans,Under $500,2013,Percent,0.10879,412
Howard Beach,Under $500,2013,Percent,0.03591,410
The Rockaways,Under $500,2013,Percent,0.22955,414
Bronx,Under $500,2013,Percent,0.19865,36005
Brooklyn,Under $500,2013,Percent,0.14522,36047
Manhattan,Under $500,2013,Percent,0.13726,36061
Queens,Under $500,2013,Percent,0.06469,36081
Staten Island,Under $500,2013,Percent,0.12834,36085
New York City,Under $500,2013,Percent,0.13576,3651000
Riverdale,$500 to $999,2013,Number,9278,208
Williamsbridge,$500 to $999,2013,Number,10977,212
Throgs Neck,$500 to $999,2013,Number,9664,210
Pelham Parkway,$500 to $999,2013,Number,10703,211
Morrisania,$500 to $999,2013,Number,9441.98514,203
East Tremont,$500 to $999,2013,Number,9857.01486,206
Bedford Park,$500 to $999,2013,Number,16980,207
University Heights,$500 to $999,2013,Number,18270,205
Concourse/Highbridge,$500 to $999,2013,Number,19763,204
Unionport/Soundview,$500 to $999,2013,Number,18595,209
Mott Haven,$500 to $999,2013,Number,10913.97537,201
Hunts Point,$500 to $999,2013,Number,6232.02463,202
Washington Heights,$500 to $999,2013,Number,25328,112
Manhattanville,$500 to $999,2013,Number,11983,109
Central Harlem,$500 to $999,2013,Number,17462,110
East Harlem,$500 to $999,2013,Number,13991,111
Upper East Side,$500 to $999,2013,Number,8114,108
Upper West Side,$500 to $999,2013,Number,12375,107
Chelsea/Clinton,$500 to $999,2013,Number,7201.65165,104
Midtown Business District,$500 to $999,2013,Number,3604.34835,105
Murray Hill/Stuyvesant,$500 to $999,2013,Number,4689,106
Lower East Side,$500 to $999,2013,Number,18515,103
Battery Park/Tribeca,$500 to $999,2013,Number,2858.00301,101
Greenwich Village,$500 to $999,2013,Number,4218.99699,102
Tottenville,$500 to $999,2013,Number,3914,503
South Beach,$500 to $999,2013,Number,4506,502
St. George,$500 to $999,2013,Number,8940,501
Williamsburg/Greenpoint,$500 to $999,2013,Number,12456,301
Bushwick,$500 to $999,2013,Number,11368,304
Bedford Stuyvesant,$500 to $999,2013,Number,11951,303
Fort Greene/Brooklyn Hts,$500 to $999,2013,Number,7053,302
Park Slope,$500 to $999,2013,Number,4669,306
Crown Heights North,$500 to $999,2013,Number,14184,308
Brownsville,$500 to $999,2013,Number,12570,316
East New York,$500 to $999,2013,Number,11299,305
Canarsie,$500 to $999,2013,Number,7659,318
East Flatbush,$500 to $999,2013,Number,11962,317
Crown Heights South,$500 to $999,2013,Number,14366,309
Sunset Park,$500 to $999,2013,Number,9943,307
Bay Ridge,$500 to $999,2013,Number,7741,310
Borough Park,$500 to $999,2013,Number,8911,312
Flatbush/Midwood,$500 to $999,2013,Number,14461,314
Sheepshead Bay,$500 to $999,2013,Number,9263,315
Bensonhurst,$500 to $999,2013,Number,14391,311
Coney Island,$500 to $999,2013,Number,10976,313
Astoria,$500 to $999,2013,Number,12485,401
Jackson Heights,$500 to $999,2013,Number,9245,403
Flushing,$500 to $999,2013,Number,9222,407
Bayside,$500 to $999,2013,Number,2151,411
Queens Village,$500 to $999,2013,Number,3409,413
Fresh Meadows/Briarwood,$500 to $999,2013,Number,7194,408
Elmhurst/Corona,$500 to $999,2013,Number,7210,404
Rego Park/Forest Hills,$500 to $999,2013,Number,5568,406
Sunnyside/Woodside,$500 to $999,2013,Number,8110,402
Ridgewood/Glendale,$500 to $999,2013,Number,9565,405
Woodhaven,$500 to $999,2013,Number,5273,409
Jamaica/St. Albans,$500 to $999,2013,Number,11034,412
Howard Beach,$500 to $999,2013,Number,3231,410
The Rockaways,$500 to $999,2013,Number,7520,414
Bronx,$500 to $999,2013,Number,150675,36005
Brooklyn,$500 to $999,2013,Number,195223,36047
Manhattan,$500 to $999,2013,Number,130340,36061
Queens,$500 to $999,2013,Number,101217,36081
Staten Island,$500 to $999,2013,Number,17360,36085
New York City,$500 to $999,2013,Number,594815,3651000
Riverdale,$500 to $999,2013,Percent,0.34349,208
Williamsbridge,$500 to $999,2013,Percent,0.37823,212
Throgs Neck,$500 to $999,2013,Percent,0.38528,210
Pelham Parkway,$500 to $999,2013,Percent,0.35199,211
Morrisania,$500 to $999,2013,Percent,0.40098,203
East Tremont,$500 to $999,2013,Percent,0.40098,206
Bedford Park,$500 to $999,2013,Percent,0.43595,207
University Heights,$500 to $999,2013,Percent,0.45009,205
Concourse/Highbridge,$500 to $999,2013,Percent,0.46668,204
Unionport/Soundview,$500 to $999,2013,Percent,0.38122,209
Mott Haven,$500 to $999,2013,Percent,0.38705,201
Hunts Point,$500 to $999,2013,Percent,0.38705,202
Washington Heights,$500 to $999,2013,Percent,0.39839,112
Manhattanville,$500 to $999,2013,Percent,0.30647,109
Central Harlem,$500 to $999,2013,Percent,0.40153,110
East Harlem,$500 to $999,2013,Percent,0.33941,111
Upper East Side,$500 to $999,2013,Percent,0.10897,108
Upper West Side,$500 to $999,2013,Percent,0.18911,107
Chelsea/Clinton,$500 to $999,2013,Percent,0.1785,104
Midtown Business District,$500 to $999,2013,Percent,0.1785,105
Murray Hill/Stuyvesant,$500 to $999,2013,Percent,0.08659,106
Lower East Side,$500 to $999,2013,Percent,0.30203,103
Battery Park/Tribeca,$500 to $999,2013,Percent,0.13104,101
Greenwich Village,$500 to $999,2013,Percent,0.13104,102
Tottenville,$500 to $999,2013,Percent,0.3855,503
South Beach,$500 to $999,2013,Percent,0.36661,502
St. George,$500 to $999,2013,Percent,0.33869,501
Williamsburg/Greenpoint,$500 to $999,2013,Percent,0.25561,301
Bushwick,$500 to $999,2013,Percent,0.30447,304
Bedford Stuyvesant,$500 to $999,2013,Percent,0.3206,303
Fort Greene/Brooklyn Hts,$500 to $999,2013,Percent,0.19397,302
Park Slope,$500 to $999,2013,Percent,0.15059,306
Crown Heights North,$500 to $999,2013,Percent,0.35264,308
Brownsville,$500 to $999,2013,Percent,0.37087,316
East New York,$500 to $999,2013,Percent,0.29518,305
Canarsie,$500 to $999,2013,Percent,0.27929,318
East Flatbush,$500 to $999,2013,Percent,0.39095,317
Crown Heights South,$500 to $999,2013,Percent,0.43543,309
Sunset Park,$500 to $999,2013,Percent,0.29745,307
Bay Ridge,$500 to $999,2013,Percent,0.26226,310
Borough Park,$500 to $999,2013,Percent,0.28901,312
Flatbush/Midwood,$500 to $999,2013,Percent,0.34804,314
Sheepshead Bay,$500 to $999,2013,Percent,0.32893,315
Bensonhurst,$500 to $999,2013,Percent,0.38108,311
Coney Island,$500 to $999,2013,Percent,0.36181,313
Astoria,$500 to $999,2013,Percent,0.21811,401
Jackson Heights,$500 to $999,2013,Percent,0.26132,403
Flushing,$500 to $999,2013,Percent,0.20907,407
Bayside,$500 to $999,2013,Percent,0.17189,411
Queens Village,$500 to $999,2013,Percent,0.21612,413
Fresh Meadows/Briarwood,$500 to $999,2013,Percent,0.25364,408
Elmhurst/Corona,$500 to $999,2013,Percent,0.21682,404
Rego Park/Forest Hills,$500 to $999,2013,Percent,0.20551,406
Sunnyside/Woodside,$500 to $999,2013,Percent,0.21982,402
Ridgewood/Glendale,$500 to $999,2013,Percent,0.27173,405
Woodhaven,$500 to $999,2013,Percent,0.22349,409
Jamaica/St. Albans,$500 to $999,2013,Percent,0.31831,412
Howard Beach,$500 to $999,2013,Percent,0.23773,410
The Rockaways,$500 to $999,2013,Percent,0.31546,414
Bronx,$500 to $999,2013,Percent,0.40221,36005
Brooklyn,$500 to $999,2013,Percent,0.31201,36047
Manhattan,$500 to $999,2013,Percent,0.23389,36061
Queens,$500 to $999,2013,Percent,0.24013,36081
Staten Island,$500 to $999,2013,Percent,0.35545,36085
New York City,$500 to $999,2013,Percent,0.29331,3651000
Riverdale,"$1,000 to $1,499",2013,Number,10936,208
Williamsbridge,"$1,000 to $1,499",2013,Number,10748,212
Throgs Neck,"$1,000 to $1,499",2013,Number,9254,210
Pelham Parkway,"$1,000 to $1,499",2013,Number,12343,211
Morrisania,"$1,000 to $1,499",2013,Number,5419.3932,203
East Tremont,"$1,000 to $1,499",2013,Number,5657.6068,206
Bedford Park,"$1,000 to $1,499",2013,Number,14744,207
University Heights,"$1,000 to $1,499",2013,Number,12137,205
Concourse/Highbridge,"$1,000 to $1,499",2013,Number,12893,204
Unionport/Soundview,"$1,000 to $1,499",2013,Number,17125,209
Mott Haven,"$1,000 to $1,499",2013,Number,5623.1225,201
Hunts Point,"$1,000 to $1,499",2013,Number,3210.8775,202
Washington Heights,"$1,000 to $1,499",2013,Number,20307,112
Manhattanville,"$1,000 to $1,499",2013,Number,9097,109
Central Harlem,"$1,000 to $1,499",2013,Number,8641,110
East Harlem,"$1,000 to $1,499",2013,Number,7667,111
Upper East Side,"$1,000 to $1,499",2013,Number,11900,108
Upper West Side,"$1,000 to $1,499",2013,Number,10063,107
Chelsea/Clinton,"$1,000 to $1,499",2013,Number,4637.82101,104
Midtown Business District,"$1,000 to $1,499",2013,Number,2321.17899,105
Murray Hill/Stuyvesant,"$1,000 to $1,499",2013,Number,9167,106
Lower East Side,"$1,000 to $1,499",2013,Number,8760,103
Battery Park/Tribeca,"$1,000 to $1,499",2013,Number,2086.25739,101
Greenwich Village,"$1,000 to $1,499",2013,Number,3079.74261,102
Tottenville,"$1,000 to $1,499",2013,Number,4004,503
South Beach,"$1,000 to $1,499",2013,Number,4197,502
St. George,"$1,000 to $1,499",2013,Number,9812,501
Williamsburg/Greenpoint,"$1,000 to $1,499",2013,Number,10566,301
Bushwick,"$1,000 to $1,499",2013,Number,13230,304
Bedford Stuyvesant,"$1,000 to $1,499",2013,Number,11057,303
Fort Greene/Brooklyn Hts,"$1,000 to $1,499",2013,Number,6821,302
Park Slope,"$1,000 to $1,499",2013,Number,5223,306
Crown Heights North,"$1,000 to $1,499",2013,Number,11349,308
Brownsville,"$1,000 to $1,499",2013,Number,9276,316
East New York,"$1,000 to $1,499",2013,Number,14880,305
Canarsie,"$1,000 to $1,499",2013,Number,12262,318
East Flatbush,"$1,000 to $1,499",2013,Number,14954,317
Crown Heights South,"$1,000 to $1,499",2013,Number,13250,309
Sunset Park,"$1,000 to $1,499",2013,Number,12867,307
Bay Ridge,"$1,000 to $1,499",2013,Number,14561,310
Borough Park,"$1,000 to $1,499",2013,Number,13215,312
Flatbush/Midwood,"$1,000 to $1,499",2013,Number,18939,314
Sheepshead Bay,"$1,000 to $1,499",2013,Number,11982,315
Bensonhurst,"$1,000 to $1,499",2013,Number,17070,311
Coney Island,"$1,000 to $1,499",2013,Number,8406,313
Astoria,"$1,000 to $1,499",2013,Number,22445,401
Jackson Heights,"$1,000 to $1,499",2013,Number,16114,403
Flushing,"$1,000 to $1,499",2013,Number,19532,407
Bayside,"$1,000 to $1,499",2013,Number,4615,411
Queens Village,"$1,000 to $1,499",2013,Number,6777,413
Fresh Meadows/Briarwood,"$1,000 to $1,499",2013,Number,12989,408
Elmhurst/Corona,"$1,000 to $1,499",2013,Number,16395,404
Rego Park/Forest Hills,"$1,000 to $1,499",2013,Number,11570,406
Sunnyside/Woodside,"$1,000 to $1,499",2013,Number,17260,402
Ridgewood/Glendale,"$1,000 to $1,499",2013,Number,19769,405
Woodhaven,"$1,000 to $1,499",2013,Number,13154,409
Jamaica/St. Albans,"$1,000 to $1,499",2013,Number,15089,412
Howard Beach,"$1,000 to $1,499",2013,Number,6856,410
The Rockaways,"$1,000 to $1,499",2013,Number,7955,414
Bronx,"$1,000 to $1,499",2013,Number,120091,36005
Brooklyn,"$1,000 to $1,499",2013,Number,219908,36047
Manhattan,"$1,000 to $1,499",2013,Number,97727,36061
Queens,"$1,000 to $1,499",2013,Number,190520,36081
Staten Island,"$1,000 to $1,499",2013,Number,18013,36085
New York City,"$1,000 to $1,499",2013,Number,646259,3651000
Riverdale,"$1,000 to $1,499",2013,Percent,0.40487,208
Williamsbridge,"$1,000 to $1,499",2013,Percent,0.37034,212
Throgs Neck,"$1,000 to $1,499",2013,Percent,0.36894,210
Pelham Parkway,"$1,000 to $1,499",2013,Percent,0.40593,211
Morrisania,"$1,000 to $1,499",2013,Percent,0.23015,203
East Tremont,"$1,000 to $1,499",2013,Percent,0.23015,206
Bedford Park,"$1,000 to $1,499",2013,Percent,0.37855,207
University Heights,"$1,000 to $1,499",2013,Percent,0.299,205
Concourse/Highbridge,"$1,000 to $1,499",2013,Percent,0.30445,204
Unionport/Soundview,"$1,000 to $1,499",2013,Percent,0.35109,209
Mott Haven,"$1,000 to $1,499",2013,Percent,0.19942,201
Hunts Point,"$1,000 to $1,499",2013,Percent,0.19942,202
Washington Heights,"$1,000 to $1,499",2013,Percent,0.31941,112
Manhattanville,"$1,000 to $1,499",2013,Percent,0.23266,109
Central Harlem,"$1,000 to $1,499",2013,Percent,0.19869,110
East Harlem,"$1,000 to $1,499",2013,Percent,0.186,111
Upper East Side,"$1,000 to $1,499",2013,Percent,0.15981,108
Upper West Side,"$1,000 to $1,499",2013,Percent,0.15378,107
Chelsea/Clinton,"$1,000 to $1,499",2013,Percent,0.11495,104
Midtown Business District,"$1,000 to $1,499",2013,Percent,0.11495,105
Murray Hill/Stuyvesant,"$1,000 to $1,499",2013,Percent,0.16929,106
Lower East Side,"$1,000 to $1,499",2013,Percent,0.1429,103
Battery Park/Tribeca,"$1,000 to $1,499",2013,Percent,0.09565,101
Greenwich Village,"$1,000 to $1,499",2013,Percent,0.09565,102
Tottenville,"$1,000 to $1,499",2013,Percent,0.39437,503
South Beach,"$1,000 to $1,499",2013,Percent,0.34147,502
St. George,"$1,000 to $1,499",2013,Percent,0.37172,501
Williamsburg/Greenpoint,"$1,000 to $1,499",2013,Percent,0.21683,301
Bushwick,"$1,000 to $1,499",2013,Percent,0.35434,304
Bedford Stuyvesant,"$1,000 to $1,499",2013,Percent,0.29662,303
Fort Greene/Brooklyn Hts,"$1,000 to $1,499",2013,Percent,0.18759,302
Park Slope,"$1,000 to $1,499",2013,Percent,0.16846,306
Crown Heights North,"$1,000 to $1,499",2013,Percent,0.28216,308
Brownsville,"$1,000 to $1,499",2013,Percent,0.27368,316
East New York,"$1,000 to $1,499",2013,Percent,0.38874,305
Canarsie,"$1,000 to $1,499",2013,Percent,0.44714,318
East Flatbush,"$1,000 to $1,499",2013,Percent,0.48874,317
Crown Heights South,"$1,000 to $1,499",2013,Percent,0.4016,309
Sunset Park,"$1,000 to $1,499",2013,Percent,0.38493,307
Bay Ridge,"$1,000 to $1,499",2013,Percent,0.49331,310
Borough Park,"$1,000 to $1,499",2013,Percent,0.4286,312
Flatbush/Midwood,"$1,000 to $1,499",2013,Percent,0.45581,314
Sheepshead Bay,"$1,000 to $1,499",2013,Percent,0.42548,315
Bensonhurst,"$1,000 to $1,499",2013,Percent,0.45202,311
Coney Island,"$1,000 to $1,499",2013,Percent,0.2771,313
Astoria,"$1,000 to $1,499",2013,Percent,0.39211,401
Jackson Heights,"$1,000 to $1,499",2013,Percent,0.45548,403
Flushing,"$1,000 to $1,499",2013,Percent,0.4428,407
Bayside,"$1,000 to $1,499",2013,Percent,0.36879,411
Queens Village,"$1,000 to $1,499",2013,Percent,0.42963,413
Fresh Meadows/Briarwood,"$1,000 to $1,499",2013,Percent,0.45796,408
Elmhurst/Corona,"$1,000 to $1,499",2013,Percent,0.49304,404
Rego Park/Forest Hills,"$1,000 to $1,499",2013,Percent,0.42703,406
Sunnyside/Woodside,"$1,000 to $1,499",2013,Percent,0.46783,402
Ridgewood/Glendale,"$1,000 to $1,499",2013,Percent,0.56162,405
Woodhaven,"$1,000 to $1,499",2013,Percent,0.55751,409
Jamaica/St. Albans,"$1,000 to $1,499",2013,Percent,0.43529,412
Howard Beach,"$1,000 to $1,499",2013,Percent,0.50445,410
The Rockaways,"$1,000 to $1,499",2013,Percent,0.33371,414
Bronx,"$1,000 to $1,499",2013,Percent,0.32057,36005
Brooklyn,"$1,000 to $1,499",2013,Percent,0.35146,36047
Manhattan,"$1,000 to $1,499",2013,Percent,0.17536,36061
Queens,"$1,000 to $1,499",2013,Percent,0.452,36081
Staten Island,"$1,000 to $1,499",2013,Percent,0.36882,36085
New York City,"$1,000 to $1,499",2013,Percent,0.31868,3651000
Riverdale,"$1,500 to $1,999",2013,Number,3371,208
Williamsbridge,"$1,500 to $1,999",2013,Number,3944,212
Throgs Neck,"$1,500 to $1,999",2013,Number,3045,210
Pelham Parkway,"$1,500 to $1,999",2013,Number,3017,211
Morrisania,"$1,500 to $1,999",2013,Number,1131.13994,203
East Tremont,"$1,500 to $1,999",2013,Number,1180.86006,206
Bedford Park,"$1,500 to $1,999",2013,Number,1928,207
University Heights,"$1,500 to $1,999",2013,Number,1745,205
Concourse/Highbridge,"$1,500 to $1,999",2013,Number,1605,204
Unionport/Soundview,"$1,500 to $1,999",2013,Number,3615,209
Mott Haven,"$1,500 to $1,999",2013,Number,1152.12268,201
Hunts Point,"$1,500 to $1,999",2013,Number,657.87732,202
Washington Heights,"$1,500 to $1,999",2013,Number,7219,112
Manhattanville,"$1,500 to $1,999",2013,Number,5208,109
Central Harlem,"$1,500 to $1,999",2013,Number,3288,110
East Harlem,"$1,500 to $1,999",2013,Number,3316,111
Upper East Side,"$1,500 to $1,999",2013,Number,20494,108
Upper West Side,"$1,500 to $1,999",2013,Number,10857,107
Chelsea/Clinton,"$1,500 to $1,999",2013,Number,5992.71253,104
Midtown Business District,"$1,500 to $1,999",2013,Number,2999.28747,105
Murray Hill/Stuyvesant,"$1,500 to $1,999",2013,Number,11076,106
Lower East Side,"$1,500 to $1,999",2013,Number,7771,103
Battery Park/Tribeca,"$1,500 to $1,999",2013,Number,2627.81201,101
Greenwich Village,"$1,500 to $1,999",2013,Number,3879.18799,102
Tottenville,"$1,500 to $1,999",2013,Number,1232,503
South Beach,"$1,500 to $1,999",2013,Number,1694,502
St. George,"$1,500 to $1,999",2013,Number,2926,501
Williamsburg/Greenpoint,"$1,500 to $1,999",2013,Number,9063,301
Bushwick,"$1,500 to $1,999",2013,Number,5165,304
Bedford Stuyvesant,"$1,500 to $1,999",2013,Number,4293,303
Fort Greene/Brooklyn Hts,"$1,500 to $1,999",2013,Number,6756,302
Park Slope,"$1,500 to $1,999",2013,Number,7626,306
Crown Heights North,"$1,500 to $1,999",2013,Number,4926,308
Brownsville,"$1,500 to $1,999",2013,Number,2048,316
East New York,"$1,500 to $1,999",2013,Number,3524,305
Canarsie,"$1,500 to $1,999",2013,Number,3987,318
East Flatbush,"$1,500 to $1,999",2013,Number,1708,317
Crown Heights South,"$1,500 to $1,999",2013,Number,2210,309
Sunset Park,"$1,500 to $1,999",2013,Number,5536,307
Bay Ridge,"$1,500 to $1,999",2013,Number,4422,310
Borough Park,"$1,500 to $1,999",2013,Number,4731,312
Flatbush/Midwood,"$1,500 to $1,999",2013,Number,4078,314
Sheepshead Bay,"$1,500 to $1,999",2013,Number,2665,315
Bensonhurst,"$1,500 to $1,999",2013,Number,2816,311
Coney Island,"$1,500 to $1,999",2013,Number,1953,313
Astoria,"$1,500 to $1,999",2013,Number,12677,401
Jackson Heights,"$1,500 to $1,999",2013,Number,7052,403
Flushing,"$1,500 to $1,999",2013,Number,10278,407
Bayside,"$1,500 to $1,999",2013,Number,4251,411
Queens Village,"$1,500 to $1,999",2013,Number,4315,413
Fresh Meadows/Briarwood,"$1,500 to $1,999",2013,Number,5229,408
Elmhurst/Corona,"$1,500 to $1,999",2013,Number,7230,404
Rego Park/Forest Hills,"$1,500 to $1,999",2013,Number,6418,406
Sunnyside/Woodside,"$1,500 to $1,999",2013,Number,6892,402
Ridgewood/Glendale,"$1,500 to $1,999",2013,Number,4356,405
Woodhaven,"$1,500 to $1,999",2013,Number,4074,409
Jamaica/St. Albans,"$1,500 to $1,999",2013,Number,4179,412
Howard Beach,"$1,500 to $1,999",2013,Number,2586,410
The Rockaways,"$1,500 to $1,999",2013,Number,2242,414
Bronx,"$1,500 to $1,999",2013,Number,26392,36005
Brooklyn,"$1,500 to $1,999",2013,Number,77507,36047
Manhattan,"$1,500 to $1,999",2013,Number,84728,36061
Queens,"$1,500 to $1,999",2013,Number,81779,36081
Staten Island,"$1,500 to $1,999",2013,Number,5852,36085
New York City,"$1,500 to $1,999",2013,Number,276258,3651000
Riverdale,"$1,500 to $1,999",2013,Percent,0.1248,208
Williamsbridge,"$1,500 to $1,999",2013,Percent,0.1359,212
Throgs Neck,"$1,500 to $1,999",2013,Percent,0.1214,210
Pelham Parkway,"$1,500 to $1,999",2013,Percent,0.09922,211
Morrisania,"$1,500 to $1,999",2013,Percent,0.04804,203
East Tremont,"$1,500 to $1,999",2013,Percent,0.04804,206
Bedford Park,"$1,500 to $1,999",2013,Percent,0.0495,207
University Heights,"$1,500 to $1,999",2013,Percent,0.04299,205
Concourse/Highbridge,"$1,500 to $1,999",2013,Percent,0.0379,204
Unionport/Soundview,"$1,500 to $1,999",2013,Percent,0.07411,209
Mott Haven,"$1,500 to $1,999",2013,Percent,0.04086,201
Hunts Point,"$1,500 to $1,999",2013,Percent,0.04086,202
Washington Heights,"$1,500 to $1,999",2013,Percent,0.11355,112
Manhattanville,"$1,500 to $1,999",2013,Percent,0.1332,109
Central Harlem,"$1,500 to $1,999",2013,Percent,0.07561,110
East Harlem,"$1,500 to $1,999",2013,Percent,0.08044,111
Upper East Side,"$1,500 to $1,999",2013,Percent,0.27523,108
Upper West Side,"$1,500 to $1,999",2013,Percent,0.16592,107
Chelsea/Clinton,"$1,500 to $1,999",2013,Percent,0.14853,104
Midtown Business District,"$1,500 to $1,999",2013,Percent,0.14853,105
Murray Hill/Stuyvesant,"$1,500 to $1,999",2013,Percent,0.20454,106
